NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-02-15,34.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-05-01,13.0,75 days 00:00:00.000000000,INT_CUT to INT_CUT,75
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-01,69.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-04,20.0,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-20,7.0,16 days 00:00:00.000000000,INT_CUT to INT_CUT,16
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-07-01,37.0,11 days 00:00:00.000000000,INT_CUT to INT_CUT,11
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2006-08-31,11.0,426 days 00:00:00.000000000,INT_CUT to EA-RH-FH,426
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2006-09-30,19.0,30 days 00:00:00.000000000,EA-RH-FH to UA-RH-FH,30
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2006-09-30,4.0,0 days 00:00:00.000000000,EA-RH-FH and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2006-09-30,85.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2007-09-30,1.0,365 days 00:00:00.000000000,EA-RH-NFH to EA-RH-FH,365
DEFAULT FOR NOT REQUIRED,EA-NRH-NFH,2007-12-15,13.0,76 days 00:00:00.000000000,EA-RH-FH to EA-NRH-NFH,76
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2008-09-30,16.0,290 days 00:00:00.000000000,EA-NRH-NFH to EA-RH-FH,290
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2008-09-30,10.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2009-06-10,5.0,253 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,253
DEFAULT FOR NOT REQUIRED,INT_CUT,2009-08-20,20.0,71 days 00:00:00.000000000,INT_CUT to INT_CUT,71
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2010-03-01,30.0,193 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,193
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2010-09-30,14.0,213 days 00:00:00.000000000,EA-RH-NFH to EA-RH-NFH,213
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2010-09-30,77.0,0 days 00:00:00.000000000,EA-RH-FH and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2011-09-30,53.0,365 days 00:00:00.000000000,EA-RH-FH to INT_CUT,365
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-07-31,6.0,305 days 00:00:00.000000000,INT_CUT to INT_CUT,305
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-08-10,16.0,10 days 00:00:00.000000000,INT_CUT to INT_CUT,10
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-08-15,45.0,5 days 00:00:00.000000000,INT_CUT to INT_CUT,5
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-08-30,10.0,15 days 00:00:00.000000000,INT_CUT to INT_CUT,15
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-09-30,2581.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-10-01,2558.0,1 days 00:00:00.000000000,INT_CUT to INT_CUT,1
DEFAULT FOR NOT REQUIRED,INT_CUT,2013-09-23,2423.0,357 days 00:00:00.000000000,INT_CUT to INT_CUT,357
DEFAULT FOR NOT REQUIRED,INT_CUT,2013-09-24,303.0,1 days 00:00:00.000000000,INT_CUT to INT_CUT,1
DEFAULT FOR NOT REQUIRED,INT_CUT,2013-09-27,2.0,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
DEFAULT FOR NOT REQUIRED,INT_CUT,2013-11-05,3.0,39 days 00:00:00.000000000,INT_CUT to INT_CUT,39
DEFAULT FOR NOT REQUIRED,INT_CUT,2014-09-30,2759.3,329 days 00:00:00.000000000,INT_CUT to INT_CUT,329
DEFAULT FOR NOT REQUIRED,INT_CUT,2015-09-01,36.0,336 days 00:00:00.000000000,INT_CUT to INT_CUT,336
DEFAULT FOR NOT REQUIRED,INT_CUT,2015-09-15,2.0,14 days 00:00:00.000000000,INT_CUT to INT_CUT,14
DEFAULT FOR NOT REQUIRED,INT_CUT,2015-09-30,29.0,15 days 00:00:00.000000000,INT_CUT to INT_CUT,15
DEFAULT FOR NOT REQUIRED,INT_CUT,2016-09-10,4.0,346 days 00:00:00.000000000,INT_CUT to INT_CUT,346
DEFAULT FOR NOT REQUIRED,INT_CUT,2016-09-28,4.2,18 days 00:00:00.000000000,INT_CUT to INT_CUT,18
DEFAULT FOR NOT REQUIRED,INT_CUT,2017-10-10,9.0,377 days 00:00:00.000000000,INT_CUT to INT_CUT,377
DEFAULT FOR NOT REQUIRED,INT_CUT,2017-10-17,9.0,7 days 00:00:00.000000000,INT_CUT to INT_CUT,7
DEFAULT FOR NOT REQUIRED,INT_CUT,2018-09-26,48.9,344 days 00:00:00.000000000,INT_CUT to INT_CUT,344
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2011-11-02,18.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2013-07-31,40.0,637 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,637
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2013-08-15,19.0,15 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,15
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2018-08-02,23.0,1813 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,1813
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2020-09-09,37.0,769 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,769
(PALS)KENNEY RIDGE TIMBER SALE,EA-RH-FH,2020-09-15,13.0,6 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,6
HAYNES CREEK POST AND POLE TIMBER SALE,EA-RH-FH,2020-09-09,11.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2010-08-15,30.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2012-07-01,12.0,686 days 00:00:00.000000000,INT_CUT to INT_CUT,686
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2012-08-31,123.0,61 days 00:00:00.000000000,INT_CUT to INT_CUT,61
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,EA-RH-FH,2012-09-25,21.0,25 days 00:00:00.000000000,INT_CUT to EA-RH-FH,25
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2012-09-25,594.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2012-10-15,137.0,20 days 00:00:00.000000000,INT_CUT to INT_CUT,20
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,EA-RH-FH,2012-10-31,5.0,16 days 00:00:00.000000000,INT_CUT to EA-RH-FH,16
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2012-10-31,161.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2013-07-15,28.0,257 days 00:00:00.000000000,INT_CUT to INT_CUT,257
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2013-09-23,100.0,70 days 00:00:00.000000000,INT_CUT to INT_CUT,70
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2013-11-14,28.0,52 days 00:00:00.000000000,INT_CUT to INT_CUT,52
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-05-16,2.0,183 days 00:00:00.000000000,INT_CUT to INT_CUT,183
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-06-20,38.0,35 days 00:00:00.000000000,INT_CUT to INT_CUT,35
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-07-18,26.0,28 days 00:00:00.000000000,INT_CUT to INT_CUT,28
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-08-15,126.0,28 days 00:00:00.000000000,INT_CUT to INT_CUT,28
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-09-15,3.0,31 days 00:00:00.000000000,INT_CUT to INT_CUT,31
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-10-15,141.0,30 days 00:00:00.000000000,INT_CUT to INT_CUT,30
(PALS)MEADOWS SLOPE WILDLAND FIRE PROTECTION PROJECT RECORD OF DECISION,INT_CUT,2014-11-14,230.0,30 days 00:00:00.000000000,INT_CUT to INT_CUT,30
(PALS)BEAVER CREEK FUELS REDUCTION PROJECT,INT_CUT,2014-08-31,3.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)BEAVER CREEK FUELS REDUCTION PROJECT,INT_CUT,2016-12-19,80.0,841 days 00:00:00.000000000,INT_CUT to INT_CUT,841
(PALS)ELK MOUNTAIN EAST VEGETATION MANAGEMENT,INT_CUT,2018-08-17,70.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA-RH-FH,2010-09-03,15.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA-RH-FH,2012-11-26,5.0,815 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,815
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA-RH-FH,2017-09-01,14.0,1740 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,1740
(PALS)TRAPPER CREEK VEGETATION MANAGEMENT PROJECT,EA-RH-FH,2017-11-10,79.0,70 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,70
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2012-09-21,95.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2014-09-01,42.0,710 days 00:00:00.000000000,INT_CUT to INT_CUT,710
(PALS)LITTLE OPHIR HAZARDOUS FUELS REDUCTION PROJECT DECISION NOTICE & FONSI,INT_CUT,2015-09-03,416.0,367 days 00:00:00.000000000,INT_CUT to INT_CUT,367
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUT,2016-09-21,98.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,UA-RH-FH,2016-09-21,110.0,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUT,2017-08-01,103.0,314 days 00:00:00.000000000,UA-RH-FH to INT_CUT,314
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,UA-RH-FH,2017-08-01,354.0,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,INT_CUT,2019-09-24,28.0,784 days 00:00:00.000000000,UA-RH-FH to INT_CUT,784
(PALS)WILLIAMS CREEK PROJECT DECISION MEMO,UA-RH-FH,2019-09-24,234.0,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2005-10-15,71.0,0 days 00:00:00.000000000,INT_CUT initial,0
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2006-10-15,35.0,365 days 00:00:00.000000000,INT_CUT to INT_CUT,365
NORTH KENNEDY-COTTONWOOD TS,EA-NRH-NFH,2007-09-15,54.0,335 days 00:00:00.000000000,INT_CUT to EA-NRH-NFH,335
NORTH KENNEDY-COTTONWOOD TS,EA-RH-NFH,2007-09-15,110.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-NRH-NFH same day,0
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2007-09-15,697.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
NORTH KENNEDY-COTTONWOOD TS,EA-RH-NFH,2008-12-15,8.0,457 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,457
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2008-12-15,539.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2009-07-15,318.0,212 days 00:00:00.000000000,INT_CUT to INT_CUT,212
NORTH KENNEDY-COTTONWOOD TS,INT_CUT,2009-07-30,42.0,15 days 00:00:00.000000000,INT_CUT to INT_CUT,15
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EA-RH-NFH,2007-09-15,105.0,0 days 00:00:00.000000000,EA-RH-NFH initial,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,INT_CUT,2007-09-15,88.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EA-NRH-NFH,2008-09-15,60.0,366 days 00:00:00.000000000,INT_CUT to EA-NRH-NFH,366
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EA-RH-NFH,2008-09-15,104.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-NRH-NFH same day,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,INT_CUT,2008-09-15,63.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,UA-RH-FH,2008-09-15,26.0,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,INT_CUT,2010-09-01,25.0,716 days 00:00:00.000000000,UA-RH-FH to INT_CUT,716
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EA-NRH-FH,2010-09-15,45.0,14 days 00:00:00.000000000,INT_CUT to EA-NRH-FH,14
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,EA-RH-NFH,2010-09-15,65.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-NRH-FH same day,0
(PALS)WEST MOUNTAIN NORTH RECORD OF DECISION,INT_CUT,2010-09-15,187.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
MESA PROJECT,A2-RH-NFH,2006-06-15,64.0,0 days 00:00:00.000000000,A2-RH-NFH initial,0
MESA PROJECT,INT_CUT,2006-06-15,76.0,0 days 00:00:00.000000000,INT_CUT and A2-RH-NFH same day,0
MESA PROJECT,EA-RH-NFH,2006-08-24,16.0,70 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,70
MESA PROJECT,EA-RH-NFH,2006-08-25,11.0,1 days 00:00:00.000000000,EA-RH-NFH to EA-RH-NFH,1
SILVER CREEK,INT_CUT,2008-09-15,42.0,0 days 00:00:00.000000000,INT_CUT initial,0
SILVER CREEK,INT_CUT,2008-09-18,91.0,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
SILVER CREEK,INT_CUT,2010-07-15,248.0,665 days 00:00:00.000000000,INT_CUT to INT_CUT,665
"(PALS)DEVELOPED CAMPGROUND, TRAILS AND ROADWAYS CLEANUP PROJECT",INT_CUT,2016-06-01,23.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2011-08-15,24.0,0 days 00:00:00.000000000,EA-RH-NFH initial,0
(PALS)SIXSHOOTER PROJECT,INT_CUT,2011-08-15,509.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2011-09-15,63.0,31 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,31
(PALS)SIXSHOOTER PROJECT,INT_CUT,2011-09-15,84.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-07-15,35.0,304 days 00:00:00.000000000,INT_CUT to INT_CUT,304
(PALS)SIXSHOOTER PROJECT,EA-NRH-NFH,2012-08-01,6.0,17 days 00:00:00.000000000,INT_CUT to EA-NRH-NFH,17
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2012-08-01,17.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-NRH-NFH same day,0
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-08-01,126.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-08-02,22.0,1 days 00:00:00.000000000,INT_CUT to INT_CUT,1
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2012-09-04,59.0,33 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,33
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2012-09-13,116.0,9 days 00:00:00.000000000,EA-RH-NFH to EA-RH-NFH,9
(PALS)SIXSHOOTER PROJECT,INT_CUT,2012-09-13,278.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)SIXSHOOTER PROJECT,EA-RH-NFH,2013-08-13,7.0,334 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,334
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2010-06-15,14.2,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2010-09-15,44.39999999999999,92 days 00:00:00.000000000,INT_CUT to INT_CUT,92
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2013-10-17,26.0,1128 days 00:00:00.000000000,INT_CUT to INT_CUT,1128
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2013-11-15,2.0,29 days 00:00:00.000000000,INT_CUT to INT_CUT,29
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2015-07-15,2.0,607 days 00:00:00.000000000,INT_CUT to INT_CUT,607
(PALS)ROADSIDE HAZARD TREE REMOVAL DECISION NOTICE &FONSI,INT_CUT,2016-09-01,5.8,414 days 00:00:00.000000000,INT_CUT to INT_CUT,414
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2009-02-09,113.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2009-07-30,46.0,171 days 00:00:00.000000000,INT_CUT to INT_CUT,171
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2010-09-03,112.0,400 days 00:00:00.000000000,INT_CUT to INT_CUT,400
(PALS)STAR RANCH FUELS REDUCTION PROJECT,INT_CUT,2012-11-08,30.0,797 days 00:00:00.000000000,INT_CUT to INT_CUT,797
(PALS)AIRLINE VEGETATION MANAGEMENT PROJECT,INT_CUT,2007-04-25,197.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)MIDDLE FORK SALVAGE DECISION NOTICE,INT_CUT,2008-10-24,345.0,0 days 00:00:00.000000000,INT_CUT initial,0
WHISKEY CAMPO RESOURCE MANAGEMENT PROJECT,INT_CUT,2005-09-30,238.0,0 days 00:00:00.000000000,INT_CUT initial,0
AIRLINE PROJECT,INT_CUT,2007-04-25,478.0,0 days 00:00:00.000000000,INT_CUT initial,0
HOLLYWOOD SANITATION PROJECT,INT_CUT,2005-10-15,174.29999999999998,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)BRUSH BOULDER,EA-NRH-NFH,2005-09-15,74.0,0 days 00:00:00.000000000,EA-NRH-NFH initial,0
(PALS)BRUSH BOULDER,EA-RH-FH,2005-09-15,4.0,0 days 00:00:00.000000000,EA-RH-FH and EA-NRH-NFH same day,0
(PALS)BRUSH BOULDER,EA-RH-NFH,2005-09-15,8.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
(PALS)BRUSH BOULDER,INT_CUT,2005-09-15,33.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)BRUSH BOULDER,EA-NRH-NFH,2006-01-15,43.0,122 days 00:00:00.000000000,INT_CUT to EA-NRH-NFH,122
(PALS)BRUSH BOULDER,EA-RH-FH,2006-01-15,5.0,0 days 00:00:00.000000000,EA-RH-FH and EA-NRH-NFH same day,0
(PALS)BRUSH BOULDER,INT_CUT,2006-01-15,396.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
(PALS)BRUSH BOULDER,EA-NRH-NFH,2007-12-15,29.0,699 days 00:00:00.000000000,INT_CUT to EA-NRH-NFH,699
(PALS)BRUSH BOULDER,EA-RH-FH,2007-12-15,6.0,0 days 00:00:00.000000000,EA-RH-FH and EA-NRH-NFH same day,0
(PALS)BRUSH BOULDER,EA-RH-FH,2008-07-15,19.0,213 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,213
(PALS)BRUSH BOULDER,EA-NRH-NFH,2008-12-01,212.0,139 days 00:00:00.000000000,EA-RH-FH to EA-NRH-NFH,139
(PALS)BRUSH BOULDER,EA-RH-FH,2008-12-01,11.0,0 days 00:00:00.000000000,EA-RH-FH and EA-NRH-NFH same day,0
(PALS)BRUSH BOULDER,EA-RH-NFH,2008-12-01,14.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
(PALS)BRUSH BOULDER,INT_CUT,2008-12-01,12.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
(PALS)VALLEY COUNTY QUARRY DEVELOPMENT,LAND_CLEAR,2019-09-09,5.0,0 days 00:00:00.000000000,LAND_CLEAR initial,0
JOHNSON RESOURCE MANAGEMENT PROJECT,A2-RH-FH,2005-11-30,39.0,0 days 00:00:00.000000000,A2-RH-FH initial,0
(PALS)RAINBOW POINT AND AMANITA CAMPGROUND FOREST HEALTH AND SAFETY IMPROVEMENT,INT_CUT,2017-05-30,5.7,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)RAINBOW POINT AND AMANITA CAMPGROUND FOREST HEALTH AND SAFETY IMPROVEMENT,INT_CUT,2018-04-03,19.3,308 days 00:00:00.000000000,INT_CUT to INT_CUT,308
(PALS)RAINBOW POINT AND AMANITA CAMPGROUND FOREST HEALTH AND SAFETY IMPROVEMENT,UA-RH-FH,2018-04-03,0.7,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
